date,symbol,usable_ohlcv,broad_gate,smh_ma50,above_ma20,above_ma50,breakout_prior_high20,rs20_at_least_3pct,volume_ratio_at_least_1_2,extension_0_to_12pct,event_cooldown_clear,atr_at_most_4pct,close_location_at_least_50pct,final_rsr1,extension,atr_pct,close_location,rs20,volume_ratio
2026-08-18,NVDA,True,True,False,True,True,False,True,False,True,True,True,False,False,0.03600123613284789,0.029950975122385117,0.3559336060952556,0.08456090882927203,0.8551093384536314
2026-08-18,AMD,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.01418008184150965,0.06147494941923063,0.5591212816305067,-0.08578037436657537,0.8372147358828651
2026-08-18,INTC,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.0001809256993769992,0.06873956584538288,0.3546806175679082,-0.058572432954998366,1.0228555094731508
2026-08-18,GLW,True,True,False,True,False,False,False,False,True,True,False,False,False,0.047912989531913475,0.0711784229781204,0.19685032274730194,0.009045290426302421,0.8065292587362793
2026-08-18,NOK,True,True,False,True,False,False,False,True,True,True,False,True,False,0.07673976430333829,0.053760486663672155,0.5625014901175405,0.001922474825529874,1.2317236536702028
2026-08-18,TTMI,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.029037742457289517,0.09698059710319179,0.2844699815576913,-0.11945639634084027,1.1577165844124269
2026-08-18,CEG,True,True,False,False,True,False,True,True,False,True,False,False,False,-0.012060308457368163,0.04121269155203634,0.13636231884058023,0.04364488963621027,1.3439322129723559
2026-08-19,DRAM,True,True,False,True,False,False,False,False,True,True,False,False,False,0.03917152379494859,0.06609150865655013,0.29241824556764767,-0.0012426228453799038,0.6674250064584901
2026-08-19,MU,True,True,False,True,False,False,False,False,True,True,False,False,False,0.04734866813791716,0.06757401028162106,0.48929025194360326,0.020968046944630614,0.6535765421950434
2026-08-19,WDC,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.06468413110883409,0.09274631175050313,0.045568920014290706,-0.12562040086105797,0.8213698517322415
2026-08-19,STX,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.02663951037266421,0.0841080556610146,0.04009311675129784,-0.03890189486586537,1.1025576389831495
2026-08-19,SNDK,True,True,False,True,False,False,False,False,False,True,False,False,False,0.1421251973291553,0.09797047152000782,0.17114646571457007,0.025274066725416322,0.9399721418312776
2026-08-19,SKHY,True,True,False,True,False,False,False,False,True,True,False,False,False,0.04355033801901764,0.07121358990335867,0.06601565050318513,-0.010839169506009494,1.0337927227352042
2026-08-19,MRVL,True,True,False,True,True,False,True,True,False,False,False,True,False,0.15072083028829408,0.07344556595752454,0.5273144618052035,0.16883841158283508,2.0150054768273544
2026-08-19,AVGO,True,True,False,False,False,False,False,True,False,True,False,False,False,-0.08961333435600105,0.04579168857388336,0.29877424319299634,-0.042232169007462406,1.8801831565027953
2026-08-19,ALAB,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.06674721130442973,0.10824760229201782,0.3590463527448124,-0.08226796824164195,0.887470875926198
2026-08-19,COHR,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.05828282364625181,0.13495570030712914,0.09981655855791284,-0.0348997979136495,1.005613615762025
2026-08-19,LITE,True,True,False,True,True,False,True,False,True,True,False,False,False,0.021928337620862326,0.10640975464292103,0.09022550088723447,0.04175167505146404,0.8283838024233053
2026-08-19,AAOI,True,True,False,True,False,False,True,False,True,True,False,False,False,0.025341965025106328,0.1466825661367601,0.04044563541327449,0.14987455823725127,0.9690041270537655
2026-08-19,MXL,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.06907979001793896,0.10911594430241771,0.028426276413393965,-0.19039468828063466,0.7809718839787495
2026-08-19,AXTI,True,True,False,True,True,False,True,False,True,True,False,False,False,0.09736233990813115,0.17279818585434173,0.03376192476702432,0.43027748718836756,1.1872089620997062
2026-08-19,CRDO,True,True,False,True,False,False,True,False,True,True,False,False,False,0.011698413162460453,0.09986250250965087,0.27089398003605825,0.07297685762958428,0.9461918628773449
2026-08-19,SMCI,True,True,False,True,True,False,True,False,False,True,False,False,False,0.1351611923860907,0.06805045053827956,0.4365491079986771,0.24127236409670993,0.5578941713790074
2026-08-19,ORCL,True,True,False,True,False,False,True,False,True,True,False,True,False,0.041222430777364094,0.04947004631764898,0.7375720381663365,0.18708314975880957,0.8582232646188669
2026-08-19,META,True,True,False,False,False,False,False,False,False,True,True,True,False,-0.06142105236156281,0.03624602247362682,0.5214295315911659,-0.08509198575484667,0.9967911473608384
2026-08-19,TER,True,True,False,True,False,False,True,False,True,True,False,False,False,0.004575012296289538,0.07457056545982432,0.18088471634697229,0.0718635553025252,0.7671872897497042
2026-08-19,ASML,True,True,False,True,False,False,False,False,True,True,True,False,False,0.013339039787817919,0.03663277146981731,0.051957461521351826,0.01771884976277427,0.9341630764321047
2026-08-19,AMAT,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.04466856940639807,0.05897030263700951,0.30565695441091273,-0.059974144398578844,0.8295073979305234
2026-08-19,KLAC,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.0439765570876538,0.05538308428285268,0.1629311104592484,-0.08245035051547489,0.8187315130110426
2026-08-19,LRCX,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.002437264523164062,0.06119692502546468,0.08897509617121009,0.006323548750675756,1.0258471160534708
2026-08-19,TSLA,True,True,False,True,False,False,False,False,True,True,True,True,False,0.08243918146279317,0.03160092999000478,0.9685929311091771,-0.01691885525241721,0.9371038843661856
2026-08-19,QCOM,True,True,False,True,False,False,False,False,True,True,True,False,False,0.002945493713339964,0.03948401580052102,0.27258350018861904,-0.03383602273193331,0.709734433401989
2026-08-19,NVDA,True,True,False,True,True,False,True,False,True,True,True,False,False,0.024395059051784518,0.029880092279745193,0.13093338328025603,0.07021881059779889,0.804468849378412
2026-08-19,AMD,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.042380621950206865,0.0570776062791354,0.15821840385474148,-0.11125831881259407,0.6843608210876222
2026-08-19,INTC,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.03550842423799838,0.06754156181828296,0.21965385471952897,-0.05141008739719832,0.9183607182143383
2026-08-19,GLW,True,True,False,False,False,False,True,False,False,True,False,False,False,-0.00032124359016416637,0.07391166679651359,0.1682608638569701,0.033897249662092954,0.7752304643686672
2026-08-19,NOK,True,True,False,True,False,False,False,False,True,True,False,False,False,0.05061191728120562,0.053165984181863794,0.06153843896627512,0.029691351506161534,0.9803041583638076
2026-08-19,TTMI,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.09116114571485978,0.10209168903660024,0.18353871995729956,-0.1514325205312873,1.0900050213714467
2026-08-19,CEG,True,True,False,True,True,False,True,False,True,True,True,True,False,0.015174078962324478,0.03903049509946437,0.8853178312440512,0.043160462811765665,0.8510020331106594
2026-08-20,DRAM,True,True,False,True,False,False,False,False,True,True,False,True,False,0.08589267671788137,0.06005929087632637,0.920766775826887,0.01784810484809851,0.5424963573614944
2026-08-20,MU,True,True,False,True,True,False,False,False,True,True,False,True,False,0.08991434208975035,0.06025165422586012,0.9388091503317622,0.014160967925249013,0.6113964422264966
2026-08-20,WDC,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.04194272776246555,0.08743051902888412,0.6509747382126126,-0.12966231890934066,0.6246679841205995
2026-08-20,STX,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.0022882292820796124,0.07883572747173985,0.5376392711734942,-0.03890949232453533,0.5936761221181606
2026-08-20,SNDK,True,True,False,True,False,False,False,False,False,True,False,True,False,0.1656509375456281,0.08976481945990145,0.6023253283201458,0.024168178870636603,0.6464740303959862
2026-08-20,SKHY,True,True,False,True,False,False,False,False,True,True,False,False,False,0.09213646536424802,0.06428921700622738,0.47124593240789264,-0.0076781206394828105,0.6472765144877397
2026-08-20,MRVL,True,True,False,True,True,True,True,True,False,False,False,True,False,0.2051738589996952,0.06910453849094256,0.9739997439286767,0.2293666434122914,1.2560342441837908
2026-08-20,AVGO,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.08244347880721026,0.04258673484571721,0.36549126753855504,-0.04226616862900501,1.006085616410357
2026-08-20,ALAB,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.056350389974932136,0.1000597208995972,0.7801563104458554,-0.08128017942354482,0.5369282218630906
