variant,missing_mode,period,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,daily_es_5,annual_turnover,average_exposure
rv_percentile_60_mapped_25pct,minus_100pct,full_2006_2025,0.07539739417496039,0.003648377973276329,0.035402733519466746,0.12058180156673512,0.17950848656226845,-0.10690331016011534,0.034127829791350144,0.42916666666666664,-0.005807607994173259,10.77554671968191,0.16898608349900596
dual_rv40_p60,zero_return,development_2006_2014,0.1965040492255401,0.020160717981847265,0.12865158075230015,0.2196570933503886,0.3265863951615063,-0.35211322669908707,0.05725634952951211,0.4351851851851852,-0.021305175271207594,38.977483443708614,0.5898454746136865
dual_rv40_p60_mapped_25pct,zero_return,development_2006_2014,0.06061251502941989,0.006568649356335499,0.03216289518807504,0.2196570933503886,0.3265863951615063,-0.09994045086077674,0.06572563261182437,0.4351851851851852,-0.005326293817801898,9.744370860927154,0.14746136865342163
dual_rv40_p60,zero_return,validation_2015_2019,-0.15556085036364675,-0.033303105893502716,0.12903585069349965,-0.19770128294305073,-0.29056649659566264,-0.32482438047033435,-0.10252649707291363,0.45,-0.021044144429210418,45.35198728139905,0.7782193958664547
dual_rv40_p60_mapped_25pct,zero_return,validation_2015_2019,-0.033851696102218165,-0.006874796346664991,0.032258962673374914,-0.19770128294305073,-0.29056649659566264,-0.09092734085341558,-0.07560758163760539,0.45,-0.0052610361073026045,11.337996820349762,0.19455484896661368
dual_rv40_p60,zero_return,final_2020_2025,0.19390382642104087,0.03007959947693606,0.16602174953514057,0.2618135717589644,0.39573215940313405,-0.2763818939459871,0.10883346606928769,0.4027777777777778,-0.02683994846484256,47.42349037823491,0.7199734571997346
dual_rv40_p60_mapped_25pct,zero_return,final_2020_2025,0.06165414547909376,0.010054663064119396,0.04150543738378514,0.2618135717589644,0.39573215940313405,-0.07586058468813583,0.13254133362475767,0.4027777777777778,-0.00670998711621064,11.855872594558727,0.17999336429993365
dual_rv40_p60,zero_return,full_2006_2025,0.20629041369962509,0.009440419244023168,0.14098951792780068,0.13736942320945184,0.20466929028322664,-0.38663060495340396,0.024417154573577824,0.42916666666666664,-0.023122740464097465,43.10218687872764,0.6759443339960238
dual_rv40_p60_mapped_25pct,zero_return,full_2006_2025,0.08788653916850975,0.004229134056047856,0.03524737948195017,0.13736942320945184,0.20466929028322664,-0.1052022212579754,0.04020004526023489,0.42916666666666664,-0.005780685116024366,10.77554671968191,0.16898608349900596
dual_rv40_p60,minus_100pct,development_2006_2014,0.1965040492255401,0.020160717981847265,0.12865158075230015,0.2196570933503886,0.3265863951615063,-0.35211322669908707,0.05725634952951211,0.4351851851851852,-0.021305175271207594,38.977483443708614,0.5898454746136865
dual_rv40_p60_mapped_25pct,minus_100pct,development_2006_2014,0.06061251502941989,0.006568649356335499,0.03216289518807504,0.2196570933503886,0.3265863951615063,-0.09994045086077674,0.06572563261182437,0.4351851851851852,-0.005326293817801898,9.744370860927154,0.14746136865342163
dual_rv40_p60,minus_100pct,validation_2015_2019,-0.15556085036364675,-0.033303105893502716,0.12903585069349965,-0.19770128294305073,-0.29056649659566264,-0.32482438047033435,-0.10252649707291363,0.45,-0.021044144429210418,45.35198728139905,0.7782193958664547
dual_rv40_p60_mapped_25pct,minus_100pct,validation_2015_2019,-0.033851696102218165,-0.006874796346664991,0.032258962673374914,-0.19770128294305073,-0.29056649659566264,-0.09092734085341558,-0.07560758163760539,0.45,-0.0052610361073026045,11.337996820349762,0.19455484896661368
dual_rv40_p60,minus_100pct,final_2020_2025,0.19390382642104087,0.03007959947693606,0.16602174953514057,0.2618135717589644,0.39573215940313405,-0.2763818939459871,0.10883346606928769,0.4027777777777778,-0.02683994846484256,47.42349037823491,0.7199734571997346
dual_rv40_p60_mapped_25pct,minus_100pct,final_2020_2025,0.06165414547909376,0.010054663064119396,0.04150543738378514,0.2618135717589644,0.39573215940313405,-0.07586058468813583,0.13254133362475767,0.4027777777777778,-0.00670998711621064,11.855872594558727,0.17999336429993365
dual_rv40_p60,minus_100pct,full_2006_2025,0.20629041369962509,0.009440419244023168,0.14098951792780068,0.13736942320945184,0.20466929028322664,-0.38663060495340396,0.024417154573577824,0.42916666666666664,-0.023122740464097465,43.10218687872764,0.6759443339960238
dual_rv40_p60_mapped_25pct,minus_100pct,full_2006_2025,0.08788653916850975,0.004229134056047856,0.03524737948195017,0.13736942320945184,0.20466929028322664,-0.1052022212579754,0.04020004526023489,0.42916666666666664,-0.005780685116024366,10.77554671968191,0.16898608349900596
