date,symbol,weight
2007-08-17,LIN,0.2
2007-08-17,TEVA,0.2
2007-08-27,APD,0.2
2007-08-27,BF-B,0.2
2007-08-27,BIIB,0.2
2007-08-27,ESRX,0.2
2007-08-27,EXPE,0.2
2007-08-28,APD,0.2
2007-08-28,BF-B,0.2
2007-08-28,BIIB,0.2
2007-08-28,ESRX,0.2
2007-08-28,EXPE,0.2
2007-08-29,APD,0.2
2007-08-29,BF-B,0.2
2007-08-29,BIIB,0.2
2007-08-29,ESRX,0.2
2007-08-29,EXPE,0.2
2007-08-30,APD,0.2
2007-08-30,BF-B,0.2
2007-08-30,BIIB,0.2
2007-08-30,ESRX,0.2
2007-08-30,EXPE,0.2
2007-08-31,APD,0.2
2007-08-31,BF-B,0.2
2007-08-31,BIIB,0.2
2007-08-31,ESRX,0.2
2007-08-31,EXPE,0.2
2007-09-04,BIIB,0.2
2007-09-04,ESRX,0.2
2007-09-04,EXPE,0.2
2007-09-04,INTC,0.2
2007-09-04,SLB,0.2
2007-09-05,BIIB,0.2
2007-09-05,ESRX,0.2
