Date,PLD
2003-05-30,12.42236614227295
2003-06-02,12.662562370300293
2003-06-03,12.793988227844238
2003-06-04,12.988875389099121
2003-06-05,12.934483528137207
2003-06-06,13.1928071975708
2003-06-09,12.929948806762695
2003-06-10,12.98434066772461
2003-06-11,13.165617942810059
2003-06-12,13.016060829162598
2003-06-13,12.803054809570312
2003-06-16,13.056851387023926
2003-06-17,12.957140922546387
2003-06-18,12.735067367553711
2003-06-19,12.757731437683105
2003-06-20,12.753201484680176
2003-06-23,12.558319091796875
2003-06-24,12.531133651733398
2003-06-25,12.644431114196777
2003-06-26,12.911825180053711
2003-06-27,12.98434066772461
2003-06-30,12.76679515838623
2003-07-01,13.040481567382812
2003-07-02,13.095683097839355
2003-07-03,13.123281478881836
2003-07-07,13.146275520324707
2003-07-08,12.925485610961914
2003-07-09,12.736895561218262
2003-07-10,12.41490650177002
2003-07-11,12.419513702392578
2003-07-14,12.55749797821045
2003-07-15,12.672511100769043
2003-07-16,12.723101615905762
2003-07-17,12.55749797821045
2003-07-18,12.663307189941406
2003-07-21,12.63110637664795
2003-07-22,12.640305519104004
2003-07-23,12.575911521911621
2003-07-24,12.709298133850098
2003-07-25,12.764498710632324
2003-07-28,12.534507751464844
2003-07-29,12.805893898010254
2003-07-30,13.054286003112793
2003-07-31,12.925485610961914
2003-08-01,12.879493713378906
2003-08-04,12.764498710632324
2003-08-05,12.81509780883789
2003-08-06,12.796697616577148
2003-08-07,12.824297904968262
2003-08-08,12.709298133850098
2003-08-11,12.810495376586914
2003-08-12,12.874896049499512
2003-08-13,12.80129623413086
2003-08-14,12.81509780883789
2003-08-15,12.856494903564453
2003-08-18,12.94848918914795
2003-08-19,12.9714937210083
2003-08-20,13.017487525939941
2003-08-21,13.0726900100708
2003-08-22,12.856494903564453
2003-08-25,12.750700950622559
2003-08-26,12.773698806762695
2003-08-27,13.040481567382812
2003-08-28,12.999090194702148
2003-08-29,13.109485626220703
2003-09-02,13.339471817016602
2003-09-03,13.528070449829102
2003-09-04,13.592469215393066
2003-09-05,13.523465156555176
2003-09-08,13.61546516418457
2003-09-09,13.684454917907715
2003-09-10,13.37627124786377
2003-09-11,13.505066871643066
2003-09-12,13.518865585327148
2003-09-15,13.509668350219727
2003-09-16,13.509668350219727
2003-09-17,13.477465629577637
2003-09-18,13.7074556350708
2003-09-19,13.891448020935059
2003-09-22,13.932853698730469
2003-09-23,14.098448753356934
2003-09-24,13.914451599121094
2003-09-25,13.863855361938477
2003-09-26,13.96505069732666
2003-09-29,14.07544994354248
2003-09-30,14.172042846679688
2003-10-01,14.174370765686035
2003-10-02,14.25829792022705
2003-10-03,14.3422269821167
2003-10-06,14.43082046508789
2003-10-07,14.27695369720459
2003-10-08,14.262967109680176
2003-10-09,14.207010269165039
2003-10-10,14.314252853393555
2003-10-13,14.374869346618652
2003-10-14,14.631307601928711
2003-10-15,14.547380447387695
2003-10-16,14.659286499023438
2003-10-17,14.687262535095215
2003-10-20,14.659286499023438
2003-10-21,14.63597297668457
2003-10-22,14.412162780761719
2003-10-23,14.1277494430542
2003-10-24,14.081116676330566
2003-10-27,14.360881805419922
2003-10-28,14.1277494430542
2003-10-29,14.230321884155273
2003-10-30,14.272292137145996
2003-10-31,13.983209609985352
2003-11-03,14.188359260559082
2003-11-04,14.267627716064453
2003-11-05,14.225661277770996
2003-11-06,14.281610488891602
2003-11-07,14.547380447387695
2003-11-10,14.53805923461914
2003-11-11,14.482104301452637
2003-11-12,14.743213653564453
2003-11-13,14.594006538391113
2003-11-14,14.92039680480957
2003-11-17,14.845788955688477
2003-11-18,14.799166679382324
2003-11-19,14.649953842163086
2003-11-20,14.477449417114258
2003-11-21,14.332901000976562
2003-11-24,14.416831970214844
2003-11-25,14.594006538391113
2003-11-26,14.547380447387695
2003-11-28,14.668608665466309
2003-12-01,14.91573429107666
2003-12-02,14.855118751525879
2003-12-03,14.850459098815918
2003-12-04,14.808496475219727
2003-12-05,14.864449501037598
2003-12-08,15.069592475891113
2003-12-09,14.981005668640137
2003-12-10,14.92039680480957
