Date,SPG
2002-05-17,10.940579414367676
2002-05-20,10.914042472839355
2002-05-21,10.864302635192871
2002-05-22,10.900785446166992
2002-05-23,11.139555931091309
2002-05-24,11.156140327453613
2002-05-28,11.212516784667969
2002-05-29,11.302059173583984
2002-05-30,11.351800918579102
2002-05-31,11.298742294311523
2002-06-03,11.292112350463867
2002-06-04,11.298742294311523
2002-06-05,11.341854095458984
2002-06-06,11.33853816986084
2002-06-07,11.285473823547363
2002-06-10,11.341854095458984
2002-06-11,11.424766540527344
2002-06-12,11.431400299072266
2002-06-13,11.517621994018555
2002-06-14,11.494403839111328
2002-06-17,11.643641471862793
2002-06-18,11.640323638916016
2002-06-19,11.637004852294922
2002-06-20,11.690069198608398
2002-06-21,11.872467041015625
2002-06-24,11.899001121520996
2002-06-25,11.938800811767578
2002-06-26,11.988540649414062
2002-06-27,12.038286209106445
2002-06-28,12.217368125915527
2002-07-01,12.054863929748535
2002-07-02,12.005120277404785
2002-07-03,11.955378532409668
2002-07-05,12.005120277404785
2002-07-08,11.988540649414062
2002-07-09,11.899001121520996
2002-07-10,11.80614185333252
2002-07-11,11.371703147888184
2002-07-12,11.378338813781738
2002-07-15,11.305375099182129
2002-07-16,11.424766540527344
2002-07-17,11.325273513793945
2002-07-18,11.04338550567627
2002-07-19,10.784714698791504
2002-07-22,10.502826690673828
2002-07-23,10.224250793457031
2002-07-24,10.33037281036377
2002-07-25,10.562512397766113
2002-07-26,11.01022720336914
2002-07-29,11.607171058654785
2002-07-30,11.782931327819824
2002-07-31,11.93547248840332
2002-08-01,11.739810943603516
2002-08-02,11.74976921081543
2002-08-05,11.70002269744873
2002-08-06,11.630376815795898
2002-08-07,11.70333480834961
2002-08-08,11.70002269744873
2002-08-09,11.70333480834961
2002-08-12,11.849255561828613
2002-08-13,11.739810943603516
2002-08-14,11.790346145629883
2002-08-15,11.840875625610352
2002-08-16,11.891410827636719
2002-08-19,11.854347229003906
2002-08-20,11.830771446228027
2002-08-21,11.844244956970215
2002-08-22,11.790346145629883
2002-08-23,11.770133018493652
2002-08-26,11.824028968811035
2002-08-27,11.857721328735352
2002-08-28,12.04636001586914
2002-08-29,11.894777297973633
2002-08-30,11.989099502563477
2002-09-03,11.824028968811035
2002-09-04,11.773500442504883
2002-09-05,11.746551513671875
2002-09-06,11.756658554077148
2002-09-09,11.763395309448242
2002-09-10,11.78023624420166
2002-09-11,11.753289222717285
2002-09-12,11.71286678314209
2002-09-13,11.88467025756836
2002-09-16,11.948670387268066
2002-09-17,11.935196876525879
2002-09-18,11.911616325378418
2002-09-19,11.938572883605957
2002-09-20,12.120477676391602
2002-09-23,12.086786270141602
2002-09-24,12.01941204071045
2002-09-25,12.069948196411133
2002-09-26,12.272064208984375
2002-09-27,12.167635917663574
2002-09-30,12.036255836486816
2002-10-01,11.891410827636719
2002-10-02,11.722970008850098
2002-10-03,11.793713569641113
2002-10-04,11.352423667907715
2002-10-07,10.890908241271973
2002-10-08,10.93133544921875
2002-10-09,10.574252128601074
2002-10-10,10.914490699768066
2002-10-11,11.231145858764648
2002-10-14,10.981863975524902
2002-10-15,11.352423667907715
2002-10-16,11.308624267578125
2002-10-17,11.480428695678711
2002-10-18,11.443371772766113
2002-10-21,11.429898262023926
2002-10-22,11.177250862121582
2002-10-23,11.130084037780762
2002-10-24,11.349050521850586
2002-10-25,11.426527976989746
2002-10-28,11.308624267578125
2002-10-29,11.258096694946289
2002-10-30,11.423155784606934
2002-10-31,11.504009246826172
2002-11-01,11.561280250549316
2002-11-04,11.689285278320312
2002-11-05,11.62191104888916
2002-11-06,11.6825532913208
2002-11-07,11.578119277954102
2002-11-08,11.561280250549316
2002-11-11,11.520852088928223
2002-11-12,11.62191104888916
2002-11-13,11.330936431884766
2002-11-14,11.560293197631836
2002-11-15,11.515790939331055
2002-11-18,11.512369155883789
2002-11-19,11.522637367248535
2002-11-20,11.543176651000977
2002-11-21,11.519216537475586
2002-11-22,11.656144142150879
2002-11-25,11.656144142150879
2002-11-26,11.570565223693848
2002-11-27,11.536328315734863
2002-11-29,11.543176651000977
2002-12-02,11.632184028625488
2002-12-03,11.536328315734863
2002-12-04,11.484978675842285
2002-12-05,11.580831527709961
2002-12-06,11.488404273986816
2002-12-09,11.570565223693848
2002-12-10,11.632184028625488
2002-12-11,11.426782608032227
2002-12-12,11.443903923034668
2002-12-13,11.484978675842285
2002-12-16,11.556872367858887
2002-12-17,11.495247840881348
2002-12-18,11.437052726745605
2002-12-19,11.450746536254883
2002-12-20,11.464444160461426
2002-12-23,11.550023078918457
2002-12-24,11.587677955627441
2002-12-26,11.546599388122559
2002-12-27,11.536328315734863
2002-12-30,11.686952590942383
2002-12-31,11.66299057006836
2003-01-02,11.851268768310547
2003-01-03,11.89234733581543
2003-01-06,12.032702445983887
2003-01-07,11.84442138671875
2003-01-08,11.628756523132324
2003-01-09,11.710918426513672
2003-01-10,11.539751052856445
2003-01-13,11.406249046325684
2003-01-14,11.378863334655762
2003-01-15,11.334362030029297
2003-01-16,11.183735847473145
2003-01-17,11.057075500488281
2003-01-21,11.015995979309082
2003-01-22,11.176884651184082
2003-01-23,11.221390724182129
2003-01-24,11.029693603515625
2003-01-27,10.882491111755371
2003-01-28,11.002307891845703
2003-01-29,11.094732284545898
2003-01-30,10.957803726196289
2003-01-31,11.194009780883789
2003-02-03,11.207698822021484
2003-02-04,11.36517333984375
2003-02-05,11.440484046936035
2003-02-06,11.539751052856445
2003-02-07,11.704071998596191
2003-02-10,11.710918426513672
2003-02-11,11.673264503479004
2003-02-12,11.693801879882812
2003-02-13,11.63107681274414
2003-02-14,11.672894477844238
2003-02-18,11.909834861755371
2003-02-19,12.021331787109375
2003-02-20,12.017854690551758
2003-02-21,12.104963302612305
2003-02-24,12.077089309692383
2003-02-25,12.122387886047363
2003-02-26,12.014369010925293
2003-02-27,12.125872611999512
2003-02-28,12.070119857788086
2003-03-03,12.125872611999512
2003-03-04,12.021331787109375
2003-03-05,12.11193561553955
2003-03-06,12.017854690551758
2003-03-07,12.014369010925293
2003-03-10,11.885438919067383
2003-03-11,11.913320541381836
2003-03-12,11.90286922454834
2003-03-13,12.091029167175293
2003-03-14,12.143292427062988
2003-03-17,12.512646675109863
2003-03-18,12.617179870605469
2003-03-19,12.753067016601562
2003-03-20,12.822757720947266
2003-03-21,12.794885635375977
2003-03-24,12.456893920898438
2003-03-25,12.693831443786621
2003-03-26,12.739134788513184
2003-03-27,12.686860084533691
2003-03-28,12.655506134033203
2003-03-31,12.484770774841309
2003-04-01,12.770489692687988
2003-04-02,12.951685905456543
2003-04-03,12.871550559997559
