Date,AIG
2007-11-14,725.3742065429688
2007-11-15,695.104736328125
2007-11-16,688.879638671875
2007-11-19,675.5758666992188
2007-11-20,664.4688720703125
2007-11-21,626.5096435546875
2007-11-23,647.2590942382812
2007-11-26,641.5225219726562
2007-11-27,665.0791015625
2007-11-28,704.5030517578125
2007-11-29,699.7428588867188
2007-11-30,709.50732421875
2007-12-03,694.4942626953125
2007-12-04,679.2374267578125
2007-12-05,712.3112182617188
2007-12-06,751.5096435546875
2007-12-07,752.734619140625
2007-12-10,753.4696655273438
2007-12-11,725.7858276367188
2007-12-12,713.0462646484375
2007-12-13,698.8365478515625
2007-12-14,681.6873168945312
2007-12-17,673.8475341796875
2007-12-18,694.5494995117188
2007-12-19,696.876708984375
2007-12-20,695.039306640625
2007-12-21,714.516357421875
2007-12-24,734.7278442382812
2007-12-26,729.0929565429688
2007-12-27,710.5962524414062
2007-12-28,709.739013671875
2007-12-31,714.1487426757812
2008-01-02,689.6495361328125
2008-01-03,691.4868774414062
2008-01-04,677.400146484375
2008-01-07,689.6495361328125
2008-01-08,680.4625854492188
2008-01-09,691.8545532226562
2008-01-10,708.1464233398438
2008-01-11,706.5538330078125
2008-01-14,726.6433715820312
2008-01-15,708.7588500976562
2008-01-16,709.3710327148438
2008-01-17,664.7830200195312
2008-01-18,637.589111328125
2008-01-22,641.9987182617188
2008-01-23,671.3978271484375
2008-01-24,674.2151489257812
2008-01-25,651.9208374023438
2008-01-28,670.662841796875
2008-01-29,694.9169311523438
2008-01-30,666.0078735351562
2008-01-31,673.3577880859375
2008-02-01,682.6673583984375
2008-02-04,678.9922485351562
2008-02-05,648.3684692382812
2008-02-06,638.2015380859375
2008-02-07,632.6891479492188
2008-02-08,620.80712890625
2008-02-11,548.0447998046875
2008-02-12,565.1940307617188
2008-02-13,557.5994873046875
2008-02-14,557.3543701171875
2008-02-15,564.8264770507812
2008-02-19,576.0963134765625
2008-02-20,586.7533569335938
2008-02-21,582.9558715820312
2008-02-22,598.7578735351562
