Date,CIEN
2009-10-16,13.989999771118164
2009-10-19,14.1899995803833
2009-10-20,14.109999656677246
2009-10-21,13.789999961853027
2009-10-22,13.460000038146973
2009-10-23,12.6899995803833
2009-10-26,12.430000305175781
2009-10-27,11.859999656677246
2009-10-28,11.760000228881836
2009-10-29,12.25
2009-10-30,11.729999542236328
2009-11-02,11.59000015258789
2009-11-03,12.029999732971191
2009-11-04,11.770000457763672
2009-11-05,12.149999618530273
2009-11-06,12.25
2009-11-09,12.460000038146973
2009-11-10,12.199999809265137
2009-11-11,12.460000038146973
2009-11-12,12.279999732971191
2009-11-13,12.369999885559082
2009-11-16,13.069999694824219
2009-11-17,14.020000457763672
2009-11-18,13.600000381469727
2009-11-19,13.470000267028809
2009-11-20,13.170000076293945
2009-11-23,12.0
2009-11-24,12.430000305175781
2009-11-25,12.600000381469727
2009-11-27,12.149999618530273
2009-11-30,12.149999618530273
2009-12-01,12.279999732971191
2009-12-02,12.880000114440918
2009-12-03,12.109999656677246
2009-12-04,12.579999923706055
2009-12-07,12.739999771118164
2009-12-08,12.9399995803833
2009-12-09,13.229999542236328
2009-12-10,11.720000267028809
2009-12-11,11.5
2009-12-14,10.989999771118164
2009-12-15,10.880000114440918
2009-12-16,10.970000267028809
2009-12-17,10.670000076293945
2009-12-18,11.050000190734863
2009-12-21,10.850000381469727
2009-12-22,10.899999618530273
2009-12-23,11.010000228881836
2009-12-24,11.210000038146973
2009-12-28,10.890000343322754
2009-12-29,10.930000305175781
2009-12-30,10.890000343322754
2009-12-31,10.84000015258789
2010-01-04,11.020000457763672
2010-01-05,11.859999656677246
2010-01-06,11.90999984741211
2010-01-07,12.210000038146973
2010-01-08,11.930000305175781
2010-01-11,11.760000228881836
2010-01-12,11.720000267028809
2010-01-13,12.0600004196167
2010-01-14,11.979999542236328
2010-01-15,11.630000114440918
2010-01-19,12.90999984741211
2010-01-20,13.039999961853027
2010-01-21,12.710000038146973
2010-01-22,12.239999771118164
2010-01-25,13.0600004196167
2010-01-26,12.770000457763672
2010-01-27,13.229999542236328
2010-01-28,13.140000343322754
2010-01-29,12.75
2010-02-01,13.100000381469727
2010-02-02,13.430000305175781
2010-02-03,13.390000343322754
2010-02-04,12.869999885559082
2010-02-05,12.800000190734863
2010-02-08,12.760000228881836
2010-02-09,13.09000015258789
2010-02-10,13.670000076293945
2010-02-11,13.9399995803833
2010-02-12,14.380000114440918
2010-02-16,14.380000114440918
2010-02-17,14.149999618530273
2010-02-18,14.399999618530273
2010-02-19,14.479999542236328
2010-02-22,14.729999542236328
2010-02-23,14.140000343322754
2010-02-24,14.420000076293945
2010-02-25,14.8100004196167
2010-02-26,14.34000015258789
2010-03-01,14.710000038146973
2010-03-02,14.760000228881836
2010-03-03,14.550000190734863
2010-03-04,13.970000267028809
2010-03-05,16.010000228881836
2010-03-08,15.100000381469727
2010-03-09,15.420000076293945
2010-03-10,15.489999771118164
2010-03-11,15.930000305175781
2010-03-12,15.800000190734863
2010-03-15,15.75
2010-03-16,15.960000038146973
2010-03-17,15.789999961853027
2010-03-18,15.170000076293945
2010-03-19,14.930000305175781
2010-03-22,15.380000114440918
2010-03-23,15.479999542236328
2010-03-24,15.460000038146973
2010-03-25,15.149999618530273
2010-03-26,15.4399995803833
2010-03-29,15.260000228881836
