Date,RF
2001-09-04,10.654195785522461
2001-09-05,10.582717895507812
2001-09-06,10.382569313049316
2001-09-07,10.114518165588379
2001-09-10,10.121665954589844
2001-09-17,10.011282920837402
2001-09-18,10.259197235107422
2001-09-19,10.17898941040039
2001-09-20,9.91285228729248
2001-09-21,9.788890838623047
2001-09-24,10.04409122467041
2001-09-25,10.222740173339844
2001-09-26,10.222740173339844
2001-09-27,10.270133972167969
2001-09-28,10.521689414978027
2001-10-01,10.65294075012207
2001-10-02,10.594608306884766
2001-10-03,10.631065368652344
2001-10-04,10.401385307312012
2001-10-05,10.12430191040039
2001-10-08,9.602956771850586
2001-10-09,9.752434730529785
2001-10-10,9.836287498474121
2001-10-11,9.945659637451172
2001-10-12,9.781600952148438
2001-10-15,9.909198760986328
2001-10-16,10.018569946289062
2001-10-17,9.854516983032227
2001-10-18,9.730555534362793
2001-10-19,9.810760498046875
2001-10-22,9.978472709655762
2001-10-23,10.011282920837402
2001-10-24,10.076900482177734
2001-10-25,10.20815658569336
2001-10-26,10.259197235107422
2001-10-29,10.06596851348877
2001-10-30,9.916488647460938
2001-10-31,9.810760498046875
2001-11-01,10.022215843200684
2001-11-02,10.06596851348877
2001-11-05,10.310232162475586
2001-11-06,10.485234260559082
2001-11-07,10.514397621154785
2001-11-08,10.51075267791748
2001-11-09,10.539916038513184
2001-11-12,10.485234260559082
2001-11-13,10.627412796020508
2001-11-14,10.678454399108887
2001-11-15,10.620121002197266
2001-11-16,10.5545015335083
2001-11-19,10.642001152038574
2001-11-20,10.627412796020508
2001-11-21,10.481585502624512
2001-11-23,10.631065368652344
2001-11-26,10.70763111114502
2001-11-27,10.627412796020508
2001-11-28,10.561795234680176
2001-11-29,10.623770713806152
2001-11-30,10.488879203796387
2001-12-03,10.379502296447754
2001-12-04,10.5545015335083
2001-12-05,10.798766136169434
2001-12-06,10.787834167480469
2001-12-07,10.780538558959961
2001-12-10,10.671171188354492
2001-12-11,10.795125961303711
2001-12-12,10.854018211364746
2001-12-13,10.662626266479492
2001-12-14,10.747275352478027
2001-12-17,10.798807144165039
2001-12-18,10.931303977966309
2001-12-19,11.001232147216797
2001-12-20,11.074844360351562
2001-12-21,11.019639015197754
2001-12-24,11.019639015197754
2001-12-26,10.949713706970215
2001-12-27,10.946023941040039
2001-12-28,11.0233154296875
2001-12-31,11.019639015197754
2002-01-02,11.034361839294434
2002-01-03,11.078522682189941
2002-01-04,11.174222946166992
2002-01-07,11.225747108459473
2002-01-08,11.12269115447998
2002-01-09,11.152142524719238
2002-01-10,11.196305274963379
2002-01-11,11.045403480529785
2002-01-14,11.060121536254883
2002-01-15,11.273599624633789
2002-01-16,11.170543670654297
2002-01-17,11.328804969787598
2002-01-18,11.336167335510254
2002-01-22,11.398737907409668
2002-01-23,11.509153366088867
2002-01-24,11.560680389404297
2002-01-25,11.612210273742676
2002-01-28,11.582767486572266
2002-01-29,11.273599624633789
2002-01-30,11.395059585571289
2002-01-31,11.509153366088867
2002-02-01,11.51651382446289
2002-02-04,11.295683860778809
2002-02-05,11.347210884094238
2002-02-06,11.258877754211426
2002-02-07,11.288317680358887
2002-02-08,11.48707103729248
2002-02-11,11.501790046691895
2002-02-12,11.48707103729248
2002-02-13,11.62692928314209
2002-02-14,11.774153709411621
2002-02-15,11.667414665222168
2002-02-19,11.527552604675293
2002-02-20,11.660059928894043
2002-02-21,11.534920692443848
2002-02-22,11.623252868652344
2002-02-25,11.792557716369629
2002-02-26,11.869852066040039
2002-02-27,11.96922492980957
2002-02-28,11.961867332458496
2002-03-01,12.127492904663086
2002-03-04,12.35936164855957
2002-03-05,12.329916954040527
2002-03-06,12.583880424499512
2002-03-07,12.521317481994629
2002-03-08,12.572836875915527
2002-03-11,12.72005844116211
2002-03-12,12.701662063598633
2002-03-13,12.64969539642334
2002-03-14,12.579172134399414
2002-03-15,12.909518241882324
2002-03-18,12.779606819152832
2002-03-19,12.864975929260254
2002-03-20,12.679388999938965
2002-03-21,12.679388999938965
2002-03-22,12.705368995666504
2002-03-25,12.534626007080078
2002-03-26,12.675674438476562
2002-03-27,12.8612642288208
2002-03-28,12.749909400939941
2002-04-01,12.779606819152832
2002-04-02,12.813015937805176
2002-04-03,12.579172134399414
2002-04-04,12.608866691589355
2002-04-05,12.620003700256348
2002-04-08,12.664539337158203
2002-04-09,12.757331848144531
2002-04-10,12.853842735290527
2002-04-11,12.75362491607666
2002-04-12,12.890958786010742
2002-04-15,12.73878002166748
2002-04-16,12.935501098632812
2002-04-17,12.9800443649292
2002-04-18,12.9800443649292
2002-04-19,13.050568580627441
2002-04-22,12.905808448791504
2002-04-23,12.913225173950195
2002-04-24,12.909518241882324
2002-04-25,12.916943550109863
2002-04-26,12.816729545593262
2002-04-29,12.916943550109863
2002-04-30,13.017162322998047
2002-05-01,13.065411567687988
2002-05-02,13.184196472167969
2002-05-03,13.191612243652344
2002-05-06,13.13965129852295
2002-05-07,13.202750205993652
2002-05-08,13.225016593933105
2002-05-09,13.098814964294434
2002-05-10,12.97261905670166
2002-05-13,13.128518104553223
2002-05-14,13.325240135192871
2002-05-15,13.28070068359375
2002-05-16,13.351221084594727
2002-05-17,13.3994722366333
2002-05-20,13.199036598205566
2002-05-21,13.210171699523926
2002-05-22,13.165637016296387
2002-05-23,13.328948020935059
2002-05-24,13.28070068359375
2002-05-28,13.169343948364258
2002-05-29,13.232441902160645
2002-05-30,13.23615550994873
2002-05-31,13.380915641784668
2002-06-03,13.187901496887207
2002-06-04,13.117376327514648
2002-06-05,13.221309661865234
2002-06-06,13.028300285339355
2002-06-07,13.187901496887207
2002-06-10,13.217594146728516
2002-06-11,13.020874977111816
2002-06-12,13.01712703704834
2002-06-13,12.788823127746582
2002-06-14,12.960990905761719
2002-06-17,13.267889022827148
2002-06-18,13.286602020263672
2002-06-19,13.25666332244873
2002-06-20,13.193037986755371
2002-06-21,13.099467277526855
2002-06-24,13.043325424194336
2002-06-25,12.98719310760498
2002-06-26,12.893627166748047
2002-06-27,12.949758529663086
2002-06-28,13.155611038208008
2002-07-01,13.054558753967285
2002-07-02,13.193037986755371
2002-07-03,13.062041282653809
2002-07-05,13.342747688293457
2002-07-08,13.395145416259766
2002-07-09,13.121922492980957
2002-07-10,12.85618782043457
2002-07-11,12.912334442138672
2002-07-12,12.706482887268066
2002-07-15,12.65782642364502
2002-07-16,12.571751594543457
2002-07-17,12.612922668457031
2002-07-18,12.081454277038574
2002-07-19,11.905546188354492
2002-07-22,11.508816719055176
2002-07-23,10.98483943939209
2002-07-24,11.703435897827148
2002-07-25,12.145079612731934
2002-07-26,12.31350040435791
2002-07-29,13.062041282653809
2002-07-30,13.069528579711914
2002-07-31,13.18554973602295
2002-08-01,12.818763732910156
2002-08-02,12.713967323303223
2002-08-05,12.31350040435791
2002-08-06,12.669057846069336
2002-08-07,12.818763732910156
2002-08-08,13.241692543029785
2002-08-09,13.286602020263672
2002-08-12,13.286602020263672
2002-08-13,12.990925788879395
2002-08-14,13.372690200805664
2002-08-15,13.43631649017334
2002-08-16,13.38765811920166
2002-08-19,13.52239990234375
2002-08-20,13.398884773254395
2002-08-21,13.316547393798828
2002-08-22,13.402620315551758
2002-08-23,13.133157730102539
2002-08-26,13.301572799682617
2002-08-27,13.339005470275879
2002-08-28,13.193037986755371
2002-08-29,13.25666332244873
2002-08-30,13.368942260742188
2002-09-03,12.912334442138672
2002-09-04,13.22297477722168
2002-09-05,13.211749076843262
2002-09-06,13.383912086486816
2002-09-09,13.432567596435547
2002-09-10,13.249180793762207
2002-09-11,13.252948760986328
2002-09-12,12.713319778442383
2002-09-13,12.890682220458984
2002-09-16,12.966156005859375
2002-09-17,12.600117683410645
2002-09-18,12.381245613098145
2002-09-19,11.969918251037598
2002-09-20,12.083127975463867
2002-09-23,12.188787460327148
2002-09-24,11.89067554473877
2002-09-25,12.317097663879395
2002-09-26,12.554832458496094
2002-09-27,12.264260292053223
2002-09-30,12.328415870666504
2002-10-01,12.868038177490234
2002-10-02,12.158598899841309
2002-10-03,11.39632797241211
2002-10-04,10.7095365524292
2002-10-07,10.226506233215332
2002-10-08,10.649155616760254
2002-10-09,10.343494415283203
2002-10-10,10.91330623626709
2002-10-11,11.679351806640625
2002-10-14,11.849167823791504
2002-10-15,12.4114408493042
2002-10-16,12.203883171081543
2002-10-17,12.445394515991211
2002-10-18,12.592571258544922
2002-10-21,12.758598327636719
2002-10-22,12.773702621459961
2002-10-23,12.849177360534668
2002-10-24,12.603886604309082
2002-10-25,12.932196617126465
2002-10-28,12.803893089294434
2002-10-29,12.660492897033691
2002-10-30,12.830307960510254
2002-10-31,12.781245231628418
2002-11-01,13.169929504394531
2002-11-04,13.094465255737305
2002-11-05,13.154834747314453
2002-11-06,12.992572784423828
2002-11-07,12.452947616577148
2002-11-08,12.354828834533691
2002-11-11,12.13596248626709
2002-11-12,12.339738845825195
2002-11-13,12.256714820861816
2002-11-14,12.641618728637695
